	frictionsample	slopesample	AeroDragsample	x_envsample	y_envsample	v_envsample	a_envsample	angle_envsample	theta_envsample	vehicleType_envsample	RandomActorX_envsample	RandomActorY_envsample	staticActorX_envsample	staticActorY_envsample	restrictSignalAreaX_envsample	signal_envsample	restrictRailCrossAreaXmin_envsample	restrictRailCrossAreaXmax_envsample	restrictRailCrossAreaYmin_envsample	restrictRailCrossAreaYmax_envsample	railSignal_envsample	restrictParkAreaXmin_envsample	restrictParkAreaXmax_envsample	restrictParkAreaYmin_envsample	restrictParkAreaYmax_envsample	restrictUturnAreaXmin_envsample	restrictUturnAreaXmax_envsample	restrictUturnAreaYmin_envsample	restrictUturnAreaYmax_envsample	errsample	x_egosample	y_egosample	v_egosample	cos_slope	dd	danger	contl_aego	a_ego	action	Mass	Length	Period	CRotInert	Amax	CRollResis	x_env	y_env	v_env	a_env	angle_env	theta_env	vehicleType_env	staticActorX_env	staticActorY_env	restrictSignalAreaX_env	restrictRailCrossAreaXmin_env	restrictRailCrossAreaXmax_env	restrictRailCrossAreaYmin_env	restrictRailCrossAreaYmax_env	restrictParkAreaXmin_env	restrictParkAreaXmax_env	restrictParkAreaYmin_env	restrictParkAreaYmax_env	restrictUturnAreaXmin_env	restrictUturnAreaXmax_env	restrictUturnAreaYmin_env	restrictUturnAreaYmax_env	x_ego	y_ego	v_ego	theta_ego	angle_ego	t	friction	slope	AeroDrag	RandomActorX_env	RandomActorY_env	signal_env	railSignal_env	err
*t* = 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	2	1	1.2	10	0.015	50	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.502359	0.0299017	311.92	67.1814	0	0.379468	0.530539	-0.543273
*t* = 0.01	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0	0	0	0	0	0	1500	2	1	1.2	10	0.015	50.05	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	10	0	0	0.01	0.502325	0.0298981	311.921	67.1789	0	0.379649	0.530678	-0.543342
*t* = 0.04	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	50.2	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	10	0	0	0.04	0.502224	0.0298872	311.922	67.1712	0	0.380192	0.531096	-0.54355
*t* = 0.14	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	50.7	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	1.3797	0	9.71498	0	0	0.14	0.501886	0.0298512	311.928	67.1458	0	0.382002	0.532489	-0.544244
*t* = 0.24	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	51.2	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	2.3349	0	9.42996	0	0	0.24	0.501548	0.0298151	311.933	67.1204	0	0.383813	0.533882	-0.544938
*t* = 0.34	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	51.7	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	3.26296	0	9.14494	0	0	0.34	0.50121	0.029779	311.938	67.0949	0	0.385623	0.535275	-0.545632
*t* = 0.44	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	52.2	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	4.16298	0	8.85992	0	0	0.44	0.500872	0.0297429	311.944	67.0695	0	0.387433	0.536668	-0.546326
*t* = 0.54	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	52.7	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	5.03464	0	8.57489	0	0	0.54	0.500534	0.0297068	311.949	67.0441	0	0.389244	0.538061	-0.54702
*t* = 0.64	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	53.2	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	5.87785	0	8.28987	0	0	0.64	0.500196	0.0296707	311.955	67.0186	0	0.391054	0.539454	-0.547714
*t* = 0.74	0.502325	0.0298981	311.921	50.05	0.01	5	0	0	0	0	67.1789	0	8.71515	0.0575264	50	0.379649	0	0	0	0	0.530678	0	0	0	0	0	0	0	0	-0.543342	0.1	0	10	0.999553	49.4067	1	-2.85021	-2.85021	-1	1500	2	1	1.2	10	0.015	53.7	0.01	5	0	0	0	0	8.71515	0.0575264	50	0	0	0	0	0	0	0	0	0	0	0	0	6.69258	0	8.00485	0	0	0.74	0.499858	0.0296347	311.96	66.9932	0	0.392865	0.540847	-0.548408
